distrito;inep;unidade_escolar;creche;pre_escola;1_ano;2_ano;3_ano;4_ano;5_ano;6_ano;7_ano;8_ano;9_ano;eja_ai;eja_af
1;23259418;E.M. 11 DE AGOSTO;58;58;0;0;0;0;0;240;270;242;193;0;0
1;23263296;E.M. AGOSTINHO MOREIRA E SILVA;133;410;196;164;135;0;0;0;0;0;0;53;81
1;23064870;E.M. ALBA FROTA;40;119;110;75;73;96;76;0;0;0;0;0;0
1;23264144;E.M. ALDEIDES REGIS;96;210;114;133;98;0;0;0;0;0;0;0;0
1;23215267;E.M. ANTONIO CORREIA LIMA;0;0;0;0;0;0;0;152;141;138;132;0;76
1;23184221;E.M. ANTONIO MENDES;0;0;0;0;45;342;313;0;0;0;0;0;0
1;23066520;E.M. CASIMIRO JOSE DE LIMA FILHO;131;270;153;136;0;0;0;0;0;0;0;0;0
1;23066628;E.M. CASTELO DE CASTRO;130;173;109;106;134;102;132;0;0;0;0;0;0
1;23067691;E.M. CRISTO REDENTOR;0;0;0;0;0;0;0;179;186;143;142;0;77
1;23529989;EMTI ALDEMIR MARTINS;0;0;0;0;0;0;0;105;70;70;105;0;0
1;23271493;EMTI NOSSA SENHORA DE FATIMA;0;0;0;0;0;0;0;114;114;114;114;0;0
1;23271507;E.M. DOIS DE DEZEMBRO;80;150;92;112;262;330;362;0;0;0;0;0;0
1;23255668;E.M. DOM ANTONIO BATISTA DE FRAGOSO;0;0;0;0;0;0;0;229;190;183;146;0;0
1;23234300;E.M. DOM HELDER CAMARA;75;152;88;103;124;132;132;0;0;0;0;0;0
1;23255870;E.M. FRANCISCO DAS CHAGAS DE FARIAS;0;0;23;56;56;63;80;0;0;0;0;0;0
1;23070021;E.M. FRANCISCO DOMINGOS DA SILVA;0;0;0;0;0;0;0;308;355;296;150;58;79
1;23257873;E.M. FRANCISCO EDILSON PINHEIRO;116;139;73;54;180;167;160;0;0;0;0;0;0
1;23071168;E.M. FRANCISCO SILVA CAVALCANTE;0;0;0;0;0;0;0;173;150;132;112;0;0
1;23234318;E.M. HERONDINA LIMA CAVALCANTE;0;0;0;0;0;70;67;311;313;306;292;30;77
1;23071028;E.M. HILBERTO SILVA;0;0;85;103;167;162;217;0;0;0;0;0;33
1;23256036;E.M. JADER DE FIGUEIREDO CORREIA;0;87;88;81;96;156;164;0;0;0;0;0;0
1;23255749;E.M. JESUS CRISTO;136;292;46;79;98;102;102;0;0;0;0;0;0
1;23072270;E.M. JOSE DE ALENCAR;0;0;0;0;0;0;0;117;229;224;266;0;117
1;23263326;E.M. LORHAN MARQUES MEDEIROS;0;122;134;107;0;0;0;0;0;0;0;0;0
1;23255641;E.M. MANOEL RODRIGUES;0;0;0;0;0;0;0;152;152;254;175;0;0
1;23255854;E.M. MARIA DALVA SEVERINO MARREIRO;56;78;85;45;0;0;0;0;0;0;0;0;0
1;23257881;E.M. MARIA MARIZA MENDES DE CARVALHO;116;255;127;130;0;0;0;0;0;0;0;0;0
1;23190787;E.M. MARIA ROSELI LIMA MESQUITA;197;363;174;119;147;128;154;0;0;0;0;0;61
